year,trace_id,system,domain,explicit_state,live_alternatives,support_lineage,dependency_local_repair,representation_refinement,external_evidence_authority,active_discriminator,temporal_currentness,learning_from_deliberation,adaptive_effort,uncertainty_preservation,shared_branch_state,control_separation,failure_becomes_reusable
1959,T1959_GPS_MEANS_ENDS,General Problem Solver,general problem solving,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN
1977,T1977_VERSION_SPACE_UPDATE,Candidate Elimination / Version Spaces,concept learning,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT
1979,T1979_MHT_RECURSIVE_ASSOCIATION,Multiple Hypothesis Tracking,temporal tracking,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN
1986,T1986_ATMS_CONTEXT_NOGOOD,Assumption-Based TMS,reason maintenance,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT
1987,T1987_GDE_DIAGNOSTIC_MEASUREMENT,General Diagnostic Engine,model-based diagnosis,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT
1987,T1987_SOAR_TRACE_TO_CHUNK,Soar,cognitive architecture,EXPLICIT,IMPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,EXPLICIT
1993,T1993_DYNAMIC_BACKTRACK_MAP,Dynamic Backtracking,constraint satisfaction,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,EXPLICIT
1996,T1996_GRASP_CONFLICT_LEARNING,GRASP,SAT solving,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,EXPLICIT
2022,T2022_COT_ARITHMETIC,Chain-of-Thought prompting,math language reasoning,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN
2022,T2022_REACT_HOTPOT,ReAct,tool-using QA,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN
2023,T2023_TOT_SEARCH,Tree of Thoughts,LLM search,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN
2024,T2024_BELIEFR_REVISION,Belief-R / Delta Reasoning,belief revision,EXPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN
2025,T2025_R1_AHA_REVISION,DeepSeek-R1-Zero intermediate,math reasoning,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT
2026,T2026_CTRLS_CASE,CTRLS,latent transition-aware LLM reasoning,IMPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,EXPLICIT,EXPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,IMPLICIT
2026,T2026_STALE_PROPAGATED_CONFLICT,STALE,agent memory,IMPLICIT,IMPLICIT,IMPLICIT,EXPLICIT,IMPLICIT,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,EXPLICIT,NOT_VISIBLE_IN_SPECIMEN,NOT_VISIBLE_IN_SPECIMEN,IMPLICIT,EXPLICIT,IMPLICIT,NOT_VISIBLE_IN_SPECIMEN
